epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,11769.9,0.37342,0.36444,0.74995,0.00592,0.52633,0.83368,0.75776,0.80903,0.73177,0.83368,0.75776,0.80904,0.77972,0.48715,0.43474,1.74074,0.0146,0,0.000214046,0.000214046,0.000214046
86,11913.8,0.36475,0.32675,0.73126,0.00589,0.5164,0.81635,0.76381,0.81082,0.73013,0.81402,0.76143,0.80715,0.77838,0.49796,0.39119,1.82587,0.01471,0,0.000203663,0.000203663,0.000203663
87,12053.1,0.36815,0.34592,0.74779,0.00585,0.50456,0.84942,0.72588,0.81066,0.73942,0.84942,0.72588,0.80951,0.78055,0.46558,0.44006,1.76475,0.01391,0,0.000193486,0.000193486,0.000193486
88,12190.5,0.35463,0.34743,0.73947,0.00566,0.50476,0.84784,0.74638,0.81608,0.73458,0.84784,0.74638,0.81411,0.78047,0.50622,0.44544,1.70321,0.01589,0,0.000183523,0.000183523,0.000183523
89,12327.1,0.34248,0.32516,0.72346,0.00556,0.49726,0.82022,0.77323,0.81773,0.74011,0.82022,0.77323,0.81649,0.78742,0.47938,0.44416,1.74195,0.0146,0,0.00017378,0.00017378,0.00017378
90,12465.4,0.36111,0.34747,0.75094,0.00559,0.52599,0.79533,0.80882,0.82311,0.75595,0.79533,0.80882,0.82193,0.79709,0.44098,0.39421,1.90378,0.01288,0,0.000164264,0.000164264,0.000164264
91,12607.9,0.35338,0.33703,0.71142,0.00577,0.47249,0.81412,0.77002,0.81881,0.74559,0.81412,0.77002,0.8179,0.79078,0.45648,0.39998,1.99963,0.01341,0,0.000154982,0.000154982,0.000154982
92,12748.8,0.35029,0.3259,0.7108,0.00555,0.48086,0.80903,0.7951,0.81881,0.75087,0.80903,0.7951,0.81734,0.79354,0.4422,0.39164,1.79003,0.01305,0,0.00014594,0.00014594,0.00014594
93,12886.2,0.35124,0.34736,0.7108,0.00543,0.48303,0.83226,0.76882,0.81855,0.76011,0.83226,0.76882,0.81732,0.79763,0.42921,0.43469,1.73561,0.0124,0,0.000137143,0.000137143,0.000137143
94,13021.4,0.3428,0.33567,0.7226,0.00532,0.49196,0.81019,0.78517,0.81464,0.74561,0.81019,0.78517,0.81396,0.78842,0.46217,0.43157,1.68521,0.01378,0,0.000128599,0.000128599,0.000128599
95,13157.7,0.32691,0.29231,0.66591,0.00528,0.46678,0.83367,0.78317,0.82121,0.75868,0.83367,0.78317,0.82064,0.79457,0.43118,0.39425,1.65459,0.01256,0,0.000120313,0.000120313,0.000120313
96,13294.5,0.34303,0.35341,0.74403,0.00539,0.50692,0.83415,0.76594,0.82042,0.75237,0.83415,0.76594,0.81985,0.79199,0.45071,0.43056,1.71385,0.01371,0,0.00011229,0.00011229,0.00011229
97,13436.7,0.34168,0.35266,0.70856,0.00529,0.47838,0.81994,0.76144,0.81611,0.74946,0.81994,0.76144,0.81531,0.78731,0.46117,0.42617,1.95676,0.01405,0,0.000104537,0.000104537,0.000104537
