epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
58,4823.43,0.43717,0.32012,1.10305,0.00857,1.72003,0.50939,0.54933,0.47575,0.39369,0.50887,0.54288,0.46401,0.42022,0.55368,0.31436,4.10968,0.01815,0,0.000543837,0.000543837,0.000543837
59,4905.03,0.4371,0.38589,1.09695,0.00867,1.59675,0.46718,0.65072,0.51761,0.43946,0.46453,0.65997,0.5103,0.46786,0.51293,0.31235,3.96885,0.01531,0,0.000530906,0.000530906,0.000530906
60,4987.63,0.46205,0.37848,1.12701,0.00898,1.64674,0.4641,0.67655,0.48433,0.41169,0.47199,0.67137,0.47525,0.44267,0.54081,0.31796,3.43862,0.01687,0,0.000517958,0.000517958,0.000517958
61,5070.17,0.41605,0.31915,1.10477,0.00796,1.72239,0.47565,0.58223,0.51856,0.43962,0.4717,0.57266,0.50512,0.46082,0.52424,0.32782,4.20008,0.01652,0,0.000505,0.000505,0.000505
62,5151.81,0.41785,0.33755,1.07775,0.00805,1.61713,0.55741,0.62673,0.52504,0.44235,0.55406,0.61807,0.51264,0.46405,0.49179,0.3397,4.00977,0.01517,0,0.000492042,0.000492042,0.000492042
63,5234.38,0.42204,0.35755,1.10565,0.00784,1.64685,0.48173,0.61534,0.51826,0.44413,0.47797,0.61102,0.50816,0.47105,0.49992,0.30155,3.70269,0.01552,0,0.000479094,0.000479094,0.000479094
64,5317.8,0.40896,0.33777,1.0665,0.00791,1.59837,0.4365,0.54636,0.49713,0.42324,0.43805,0.54203,0.48694,0.45257,0.53372,0.29308,4.16236,0.01643,0,0.000466163,0.000466163,0.000466163
65,5401.63,0.398,0.31292,1.03485,0.00733,1.57163,0.44553,0.62643,0.51573,0.44838,0.44157,0.6221,0.50462,0.47342,0.49736,0.31488,4.41178,0.01504,0,0.000453258,0.000453258,0.000453258
66,5486.18,0.413,0.34029,1.05613,0.00813,1.5856,0.42712,0.60532,0.50583,0.44239,0.42275,0.60099,0.49576,0.46233,0.44513,0.29175,3.81539,0.01343,0,0.00044039,0.00044039,0.00044039
67,5569.49,0.41669,0.37301,1.05727,0.00741,1.55936,0.52954,0.60192,0.51718,0.44301,0.52385,0.59759,0.50893,0.47116,0.46159,0.29284,3.59619,0.01395,0,0.000427565,0.000427565,0.000427565
68,5655.0,0.39776,0.35281,1.0785,0.00734,1.60446,0.46549,0.58467,0.50598,0.43081,0.46868,0.56017,0.49894,0.45336,0.496,0.29031,4.4178,0.01554,0,0.000414793,0.000414793,0.000414793
69,5737.86,0.4368,0.37497,1.08248,0.00776,1.51903,0.50247,0.54155,0.49882,0.42615,0.50216,0.54013,0.48915,0.45015,0.47641,0.29968,3.76043,0.01379,0,0.000402084,0.000402084,0.000402084
70,5821.63,0.36779,0.27964,1.00927,0.00709,1.47608,0.44335,0.63424,0.49954,0.44256,0.44335,0.63424,0.4959,0.46554,0.42498,0.28924,4.13833,0.01229,0,0.000389445,0.000389445,0.000389445
71,5904.23,0.39451,0.33954,1.01528,0.00741,1.53532,0.50183,0.67101,0.50173,0.40827,0.50183,0.67101,0.49755,0.43707,0.54314,0.27625,3.88282,0.01709,0,0.000376885,0.000376885,0.000376885
72,5986.08,0.39505,0.35271,1.03166,0.00717,1.53836,0.50979,0.63348,0.51418,0.44941,0.50979,0.63348,0.50985,0.47472,0.41454,0.30312,3.646,0.01171,0,0.000364412,0.000364412,0.000364412
