epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,1754.92,0.60332,0.54851,0.79969,0.00968,0.82091,0.89309,0.88721,0.91393,0.78701,0.88782,0.88331,0.90893,0.8912,0.66776,0.69877,0.73505,0.01958,0,0.000729725,0.000729725,0.000729725
44,1795.94,0.58244,0.54712,0.77045,0.0088,0.75765,0.91201,0.8847,0.91505,0.78142,0.90808,0.88053,0.9109,0.88051,0.70492,0.64802,0.67674,0.02137,0,0.000718103,0.000718103,0.000718103
45,1837.06,0.56815,0.52406,0.77855,0.00911,0.72735,0.89717,0.85893,0.90468,0.77319,0.90338,0.84369,0.90031,0.87139,0.63201,0.72499,0.71471,0.01886,0,0.000706335,0.000706335,0.000706335
46,1878.34,0.56621,0.54804,0.76399,0.00906,0.7751,0.89965,0.85814,0.90414,0.76751,0.89575,0.85397,0.90066,0.87274,0.69565,0.77491,0.75386,0.02077,0,0.000694428,0.000694428,0.000694428
47,1919.92,0.5695,0.50526,0.75584,0.00879,0.72684,0.88755,0.8472,0.90275,0.76616,0.88352,0.84304,0.89842,0.87277,0.68276,0.51887,0.69886,0.0203,0,0.000682392,0.000682392,0.000682392
48,1960.43,0.55877,0.51071,0.77571,0.00856,0.81281,0.92654,0.88825,0.92406,0.80577,0.92654,0.88825,0.92411,0.90166,0.63528,0.66347,0.60498,0.01854,0,0.000670234,0.000670234,0.000670234
49,2001.9,0.56875,0.50035,0.76317,0.00865,0.7585,0.88717,0.85588,0.88719,0.76115,0.88717,0.85588,0.89309,0.85817,0.67671,0.63248,0.7,0.02031,0,0.000657963,0.000657963,0.000657963
50,2042.93,0.56669,0.51601,0.75443,0.00892,0.72992,0.88959,0.85602,0.88448,0.75385,0.88543,0.85187,0.878,0.85849,0.61615,0.70591,0.74334,0.01836,0,0.000645588,0.000645588,0.000645588
51,2083.88,0.56541,0.58751,0.76322,0.00885,0.70804,0.92217,0.86143,0.90147,0.77501,0.91797,0.85726,0.89563,0.88143,0.66419,0.54428,0.72214,0.01953,0,0.000633115,0.000633115,0.000633115
52,2125.25,0.56209,0.47352,0.72845,0.00858,0.72415,0.92986,0.86393,0.90793,0.78539,0.92585,0.85977,0.90212,0.88596,0.63835,0.64478,0.64205,0.01868,0,0.000620555,0.000620555,0.000620555
53,2166.08,0.55759,0.46625,0.7243,0.00843,0.68066,0.91179,0.86049,0.89382,0.76775,0.91179,0.86049,0.89382,0.86305,0.61823,0.67408,0.64168,0.01844,0,0.000607916,0.000607916,0.000607916
54,2207.82,0.55176,0.49929,0.71706,0.00863,0.62989,0.94518,0.91436,0.92258,0.80754,0.94095,0.91019,0.91746,0.89502,0.56916,0.50601,0.61882,0.01614,0,0.000595207,0.000595207,0.000595207
55,2249.33,0.52373,0.52715,0.70486,0.00802,0.68179,0.92316,0.87577,0.89489,0.77267,0.92316,0.87577,0.89456,0.86729,0.62315,0.51716,0.66886,0.01862,0,0.000582435,0.000582435,0.000582435
56,2291.14,0.54404,0.49638,0.68753,0.00847,0.67132,0.92241,0.8592,0.88892,0.777,0.91606,0.85528,0.8833,0.85749,0.59089,0.49682,0.66432,0.01689,0,0.00056961,0.00056961,0.00056961
57,2332.58,0.53521,0.48665,0.70034,0.00834,0.6646,0.92964,0.86431,0.86769,0.75451,0.92528,0.86015,0.86251,0.84192,0.63437,0.46826,0.63098,0.01851,0,0.000556742,0.000556742,0.000556742
58,2373.95,0.52925,0.48654,0.72534,0.0082,0.64758,0.94518,0.88625,0.91307,0.80285,0.94097,0.88219,0.90991,0.89358,0.56645,0.52701,0.58234,0.01643,0,0.000543837,0.000543837,0.000543837
59,2414.74,0.52583,0.49537,0.67837,0.0085,0.58795,0.9373,0.87979,0.92256,0.8078,0.93305,0.87562,0.91716,0.90317,0.62122,0.50952,0.59357,0.01841,0,0.000530906,0.000530906,0.000530906
60,2456.73,0.52655,0.48447,0.69155,0.00793,0.61938,0.92994,0.88897,0.90537,0.78941,0.92994,0.88897,0.90491,0.87726,0.63842,0.6685,0.60736,0.019,0,0.000517958,0.000517958,0.000517958
